,[套餐]3人分享套餐,85
,[套餐]商务10人套餐,238
,特盛牛肉饭,24
,特盛牛肉饭+金枪鱼土豆泥+可乐,31.5
,[套餐]吉味双拼饭套餐+田园沙拉+可乐(听),34.5
,[套餐]招牌牛肉饭套餐+田园沙拉+可乐(听),29.5
,[套餐]照烧鸡排饭套餐+田园沙拉+可乐(听),29
,[套餐]润烧东坡饭套餐+金枪鱼土豆泥+可乐(听),27
,[套餐]山贼烧鸡排饭套餐+田园沙拉+可乐(听),30.5
,[套餐]什锦蘑菇饭套餐+金枪鱼土豆泥+可乐(听),28.5
,招牌牛肉饭,19.5
,照烧鸡排饭,19
,润烧东坡饭,19.5
,山贼鸡排饭,20.5
,什锦蘑菇饭,21
,吉味双拼饭,24.5
,香汁鲐鱼饭,20
,金枪鱼土豆泥,4.5
,田园沙拉,7.5
,卤蛋,2
,黄瓜,2.5
,泡菜,2.5
,海鲜蛋花汤,6.5
,味噌汤,7.5
,可乐/七喜 1.25L,12
,纯果乐 1L,15
,矿泉水,4
,可乐/七喜(听),6.5
,王老吉(听),9.5
